farm_id,farm_name,crop_type
F001,Хозяйство 'Кукуруза'-1,Кукуруза
F002,Хозяйство 'Пшеница'-2,Пшеница
F003,Хозяйство 'Подсолнечник'-3,Подсолнечник
F004,Хозяйство 'Свекла'-4,Свекла
F005,Хозяйство 'Свекла'-5,Свекла
F006,Хозяйство 'Картофель'-6,Картофель
F007,Хозяйство 'Кукуруза'-7,Кукуруза
F008,Хозяйство 'Кукуруза'-8,Кукуруза
F009,Хозяйство 'Рожь'-9,Рожь
F010,Хозяйство 'Пшеница'-10,Пшеница
F011,Хозяйство 'Пшеница'-11,Пшеница
F012,Хозяйство 'Кукуруза'-12,Кукуруза
F013,Хозяйство 'Свекла'-13,Свекла
F014,Хозяйство 'Свекла'-14,Свекла
F015,Хозяйство 'Пшеница'-15,Пшеница
F016,Хозяйство 'Свекла'-16,Свекла
F017,Хозяйство 'Рожь'-17,Рожь
F018,Хозяйство 'Свекла'-18,Свекла
F019,Хозяйство 'Соя'-19,Соя
F020,Хозяйство 'Подсолнечник'-20,Подсолнечник
F021,Хозяйство 'Пшеница'-21,Пшеница
F022,Хозяйство 'Картофель'-22,Картофель
F023,Хозяйство 'Рожь'-23,Рожь
F024,Хозяйство 'Овёс'-24,Овёс
F025,Хозяйство 'Подсолнечник'-25,Подсолнечник
F026,Хозяйство 'Картофель'-26,Картофель
F027,Хозяйство 'Свекла'-27,Свекла
F028,Хозяйство 'Овёс'-28,Овёс
F029,Хозяйство 'Кукуруза'-29,Кукуруза
F030,Хозяйство 'Кукуруза'-30,Кукуруза
F031,Хозяйство 'Рожь'-31,Рожь
F032,Хозяйство 'Кукуруза'-32,Кукуруза
F033,Хозяйство 'Овёс'-33,Овёс
F034,Хозяйство 'Овёс'-34,Овёс
F035,Хозяйство 'Подсолнечник'-35,Подсолнечник
F036,Хозяйство 'Пшеница'-36,Пшеница
F037,Хозяйство 'Соя'-37,Соя
F038,Хозяйство 'Кукуруза'-38,Кукуруза
F039,Хозяйство 'Рожь'-39,Рожь
F040,Хозяйство 'Кукуруза'-40,Кукуруза
F041,Хозяйство 'Подсолнечник'-41,Подсолнечник
F042,Хозяйство 'Овёс'-42,Овёс
F043,Хозяйство 'Свекла'-43,Свекла
F044,Хозяйство 'Кукуруза'-44,Кукуруза
F045,Хозяйство 'Пшеница'-45,Пшеница
F046,Хозяйство 'Свекла'-46,Свекла
F047,Хозяйство 'Подсолнечник'-47,Подсолнечник
F048,Хозяйство 'Кукуруза'-48,Кукуруза
F049,Хозяйство 'Свекла'-49,Свекла
F050,Хозяйство 'Кукуруза'-50,Кукуруза
F051,Хозяйство 'Рожь'-51,Рожь
F052,Хозяйство 'Подсолнечник'-52,Подсолнечник
F053,Хозяйство 'Соя'-53,Соя
F054,Хозяйство 'Овёс'-54,Овёс
F055,Хозяйство 'Картофель'-55,Картофель
F056,Хозяйство 'Овёс'-56,Овёс
F057,Хозяйство 'Овёс'-57,Овёс
F058,Хозяйство 'Свекла'-58,Свекла
F059,Хозяйство 'Подсолнечник'-59,Подсолнечник
F060,Хозяйство 'Кукуруза'-60,Кукуруза
F061,Хозяйство 'Картофель'-61,Картофель
F062,Хозяйство 'Свекла'-62,Свекла
F063,Хозяйство 'Картофель'-63,Картофель
F064,Хозяйство 'Соя'-64,Соя
F065,Хозяйство 'Рожь'-65,Рожь
F066,Хозяйство 'Подсолнечник'-66,Подсолнечник
F067,Хозяйство 'Свекла'-67,Свекла
F068,Хозяйство 'Овёс'-68,Овёс
F069,Хозяйство 'Пшеница'-69,Пшеница
F070,Хозяйство 'Свекла'-70,Свекла
F071,Хозяйство 'Пшеница'-71,Пшеница
F072,Хозяйство 'Овёс'-72,Овёс
F073,Хозяйство 'Рожь'-73,Рожь
F074,Хозяйство 'Подсолнечник'-74,Подсолнечник
F075,Хозяйство 'Кукуруза'-75,Кукуруза
F076,Хозяйство 'Свекла'-76,Свекла
F077,Хозяйство 'Овёс'-77,Овёс
F078,Хозяйство 'Свекла'-78,Свекла
F079,Хозяйство 'Соя'-79,Соя
F080,Хозяйство 'Рожь'-80,Рожь
F081,Хозяйство 'Соя'-81,Соя
F082,Хозяйство 'Картофель'-82,Картофель
F083,Хозяйство 'Подсолнечник'-83,Подсолнечник
F084,Хозяйство 'Картофель'-84,Картофель
F085,Хозяйство 'Свекла'-85,Свекла
F086,Хозяйство 'Подсолнечник'-86,Подсолнечник
F087,Хозяйство 'Рожь'-87,Рожь
F088,Хозяйство 'Рожь'-88,Рожь
F089,Хозяйство 'Овёс'-89,Овёс
F090,Хозяйство 'Свекла'-90,Свекла
F091,Хозяйство 'Картофель'-91,Картофель
F092,Хозяйство 'Соя'-92,Соя
F093,Хозяйство 'Кукуруза'-93,Кукуруза
F094,Хозяйство 'Пшеница'-94,Пшеница
F095,Хозяйство 'Кукуруза'-95,Кукуруза
F096,Хозяйство 'Картофель'-96,Картофель
F097,Хозяйство 'Картофель'-97,Картофель
F098,Хозяйство 'Рожь'-98,Рожь
F099,Хозяйство 'Кукуруза'-99,Кукуруза
F100,Хозяйство 'Рожь'-100,Рожь
